fname V Rs Rt Qt nt Rr Qr nr rmsre
d82bm0V4T290 -0.4 2.4871016E+1 1.8452078E+3 1.0926255E-9 1.0000000E+0 7.6254958E+4 1.0223921E-9 9.4775100E-1 2.8637768E-2
d82bm0V4T291 -0.4 2.7271594E+1 1.8923971E+3 1.0956037E-9 1.0000000E+0 8.8269752E+4 9.0664360E-10 9.5543342E-1 2.9946901E-2
d82bm0V2T216 -0.2 1.0000000E-7 1.5224317E+4 8.5688355E-10 9.6848210E-1 1.4082470E+5 2.3992362E-9 9.1168860E-1 3.0315385E-2
d82bm0V2T243 -0.2 1.0000000E-7 7.2570824E+3 1.9241740E-9 9.4295250E-1 8.0236164E+4 8.7184313E-10 9.6891736E-1 3.3671679E-2
d82bm0V2T252 -0.2 1.1753219E-1 6.2209290E+3 2.3484293E-9 9.3189776E-1 1.6951586E+5 5.2603527E-10 1.0000000E+0 4.2632274E-2
d82bm0V2T269 -0.2 1.9656935E+1 2.7647255E+3 1.4033113E-9 9.7659567E-1 8.3865983E+4 9.8015500E-10 9.6446850E-1 4.4176727E-2
d82bm0V2T290 -0.2 2.6945641E+1 1.7131405E+3 1.1834744E-9 1.0000000E+0 6.8891205E+4 1.1173578E-9 9.5292941E-1 3.2558458E-2
d82bm0V2T291 -0.2 2.7227931E+1 1.6537331E+3 1.1717937E-9 1.0000000E+0 8.3713301E+4 1.0803915E-9 9.5436311E-1 6.0067210E-2
d82b0VT2152 0 1.0000000E-7 1.5889123E+4 8.5520283E-10 9.6965092E-1 1.2888060E+5 2.5334374E-9 9.2123437E-1 3.1936116E-2
d82b0VT2432 0 1.0000000E-7 6.4956649E+3 2.1073859E-9 9.4012257E-1 7.9751304E+4 1.0875669E-9 9.6494168E-1 3.3954466E-2
d82b0VT2522 0 2.2336705E-1 5.4302787E+3 2.5642297E-9 9.2966276E-1 1.5419412E+5 6.5131242E-10 1.0000000E+0 4.2081854E-2
d82b0VT2692 0 1.6584582E+1 2.5523438E+3 1.7962839E-9 9.6402906E-1 6.6159259E+4 1.1202997E-9 9.6413264E-1 3.7832749E-2
d82b0VT2902 0 2.5559057E+1 1.4340015E+3 1.2792198E-9 1.0000000E+0 6.0092247E+4 1.3263626E-9 9.5555460E-1 3.1336973E-2
d82b0VT2912 0 2.7536940E+1 1.4401433E+3 1.2721042E-9 1.0000000E+0 6.9530504E+4 1.2292837E-9 9.6048271E-1 3.2189238E-2
d82b0VT2913 0 2.7510996E+1 1.4315660E+3 1.2743556E-9 1.0000000E+0 6.8983836E+4 1.2174142E-9 9.6112495E-1 3.2273835E-2
d82b0VT215 0 1.0000000E-7 1.5826957E+4 8.5904591E-10 9.6931815E-1 1.3470863E+5 2.7645184E-9 9.1303225E-1 3.3043563E-2
d82b0VT216 0 1.0000000E-7 1.5333047E+4 8.5059457E-10 9.7105247E-1 4.7822931E+4 3.3638783E-9 9.1677981E-1 2.3147791E-2
d82b0VT243 0 1.0000000E-7 6.5140870E+3 2.1236981E-9 9.3959259E-1 8.0314041E+4 1.1338933E-9 9.6188198E-1 3.3965885E-2
d82b0VT252 0 1.0000000E-7 5.4927871E+3 2.6047684E-9 9.2855825E-1 1.5838020E+5 6.6006140E-10 9.9818084E-1 4.0479578E-2
d82b0VT269 0 1.8039668E+1 2.5419918E+3 1.7058435E-9 9.6800926E-1 6.5497416E+4 9.9518183E-10 9.7682617E-1 4.8099479E-2
d82b0VnT290 0 2.4483567E+1 1.3590967E+3 1.2598900E-9 1.0000000E+0 6.1398068E+4 1.4602828E-9 9.4827235E-1 2.9453520E-2
d82bm0VT290 0 2.3360249E+1 2.1027383E+3 9.7536040E-10 9.9953645E-1 8.9476108E+4 9.6512863E-10 9.3250976E-1 2.6212233E-2
d82b0VT291 0.T 2.7321432E+1 1.4175943E+3 1.2683904E-9 1.0000000E+0 6.7744201E+4 1.2662832E-9 9.5784489E-1 3.1619427E-2
d82b0V2T243 0.2 1.0000000E-7 5.0531279E+3 2.2005561E-9 9.4064508E-1 2.1048279E+4 2.1239869E-9 9.3561732E-1 2.6316451E-2
d82b0V2T252 0.2 1.0000001E-7 4.3095777E+3 2.8986985E-9 9.2575613E-1 2.4598441E+4 1.1974357E-9 9.7878623E-1 2.8465947E-2
d82b0V2T269 0.2 1.4602727E+1 2.0221854E+3 2.1519697E-9 9.5695948E-1 1.3514851E+4 1.5162947E-9 9.6642386E-1 3.2702850E-2
d82b0V2T290 0.2 2.2504421E+1 1.0265435E+3 1.5714162E-9 9.9212962E-1 8.4480316E+3 2.0916495E-9 9.4904112E-1 2.5380933E-2
d82b0V2T291 0.2 2.3098104E+1 9.9578902E+2 1.4750632E-9 9.9551967E-1 9.3693232E+3 2.1104316E-9 9.4907468E-1 2.5534097E-2
d82b0V4T215 0.4 1.0000000E-7 1.2891965E+4 7.9348962E-10 9.7415258E-1 4.9292855E+3 7.4418620E-9 8.9447758E-1 6.5771252E-3
d82b0V4T243 0.4 1.0000000E-7 3.1246877E+3 1.7787775E-9 9.5519839E-1 1.8060107E+3 6.2506912E-9 8.8844824E-1 6.5827254E-3
d82b0V4T252 0.4 1.0000003E-7 2.2971717E+3 2.1584444E-9 9.4581466E-1 1.4398767E+3 4.5887763E-9 9.1748755E-1 6.2195330E-3
d82b0V4T269 0.4 2.5382298E+0 1.2280712E+3 3.1378350E-9 9.3156337E-1 1.1132579E+3 3.5881410E-9 9.3504977E-1 5.5695929E-3
d82b0V4T290 0.4 4.3391611E+0 6.1016006E+2 5.4747046E-9 9.1036609E-1 8.8318406E+2 9.6919775E-9 8.6980711E-1 5.1890569E-3
d82b0V4T291 0.4 4.6958317E+0 6.2657200E+2 5.5297311E-9 9.0873734E-1 8.7455170E+2 8.5393133E-9 8.8006487E-1 5.5109085E-3
